ID,Start time,Completion time,Email,Name,Your name  (FirstName LastName),Your student ID,Your workshop class,If you prefer to be in a team with particular students list their student IDs separated by commas (max. 6 student IDs):,What project option do you prefer?,What technologies/languages would you prefer to use in project?,Timezone in which the team should preferably work,Preferred week days for team work?,Preferred day/night times for team-work
1,9/11/22 15:39:25,9/11/22 15:40:28,s2404367@rmit.edu.au,Velma James,Velma James,s2404367,WRK05/01,s1214444;s6413164;s1213456,Web-app;Desktop app;iOS app;Android app,Java;Python,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
2,9/11/22 15:39:25,9/11/22 15:40:28,s3333333@rmit.edu.au,Timothy Whitaker,Timothy Whitaker,s3333333,WRK01/02,s6778984;s8814883;s6778984,Desktop app;iOS app;Android app,Java;Python;sql;C,Not important to me,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
3,9/11/22 15:39:25,9/11/22 15:40:28,s1602133@rmit.edu.au,Ted Krause,Ted Krause,s1602133,WRK04/01,s708358;s6153713,Web-app;Desktop app;iOS app;Android app,Java;Python;sql;C,UTC+6,Monday;Tuesday;Wednesday;Thursday;Friday;,5pm - 10pm
4,9/11/22 15:39:25,9/11/22 15:40:28,s5555555@rmit.edu.au,Taylor Terry,Taylor Terry,s5555555,WRK01/02,NONE,Desktop app;Web-app,Python;Java,UTC+1,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm
5,9/11/22 15:39:25,9/11/22 15:40:28,s708358@rmit.edu.au,Tasha Reilly,Tasha Reilly,s708358,WRK05/01,s6413164;s54654654;s2404367,iOS app;Android app,Java;Python;sql;C,UTC+1,Monday;Tuesday;Wednesday;Thursday;Friday;,4pm - 6pm
6,9/11/22 15:39:25,9/11/22 15:40:28,s45676564@rmit.edu.au,Sybil Arellano,Sybil Arellano,s45676564,WRK03/01,s8051990;s2057214;s3546345;s6824523;s2057214;s5183473;s124657,Desktop app;iOS app;Android app,Java;Python;sql;C++,UTC+3,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
7,9/11/22 15:39:25,9/11/22 15:40:28,s3392738@rmit.edu.au,Stan Watts,Stan Watts,s3392738,WRK04/01,s4354669;s1602133,Desktop app;iOS app;Android app,C;C#,UTC+9,Monday;Tuesday;Wednesday;Thursday;Friday;,10am - 12pm
8,9/11/22 15:39:25,9/11/22 15:40:28,s2222222@rmit.edu.au,Spencer Sheppard,Spencer Sheppard,s2222222,WRK01/02,s467116;s312851;s8814883,Desktop app;iOS app;Android app,Java,Not important to me,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
9,9/11/22 15:39:25,9/11/22 15:40:28,s1213456@rmit.edu.au,Shirley Lozano,Shirley Lozano,s1213456,WRK05/01,NONE,Web-app;Desktop app;iOS app;Android app,C;C++;Python,UTC-5,Monday;Tuesday;Wednesday;Thursday;Friday;,1pm - 10pm
10,9/11/22 15:39:25,9/11/22 15:40:28,s6375414@rmit.edu.au,Ruth R. Aguon,Ruth R. Aguon,s6375414,WRK01/02,s4548782;s2665191,Desktop app;iOS app;Android app,Java;Python;sql;C,Not important to me,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
11,9/11/22 15:39:25,9/11/22 15:40:28,s6778984@rmit.edu.au,Ray Ponce,Ray Ponce,s6778984,WRK01/02,NONE,Desktop app;iOS app;Android app,Java;Python;sql;C,UTC+11,Monday;Tuesday;Wednesday;Thursday;Friday;,late evenings 9pm-12pm;evenings 5pm-9pm;
12,9/11/22 15:39:25,9/11/22 15:40:28,s7103503@rmit.edu.au,Perry Ellison,Perry Ellison,s7103503,WRK04/01,NONE,iOS app;Android app,Java;Python;sql;C,UTC+1,Monday;Tuesday;Wednesday;Thursday;Friday;,morning 9am - 12pm
